Парковка №0302 (71);4;город Москва, улица Новый Арбат, дом 22;37.589223000000004;55.7530855
Парковка №0302 (72);2;город Москва, Борисоглебский переулок, дом 6, строение 2;37.589666;55.754037
Парковка №0305 (87);8;город Москва, Неглинная улица, дом 4;37.620931999999996;55.760381499999994
Парковка №0302 (74);1;город Москва, Борисоглебский переулок, дом 8, строение 1;37.590059999999994;55.754453
Парковка №0302 (75);4;город Москва, Борисоглебский переулок, дом 13, строение 1;37.589921000000004;55.754467
Парковка №0302 (76);3;город Москва, Борисоглебский переулок, дом 15, строение 3;37.5904885;55.754922
Парковка №0302 (77);2;город Москва, Борисоглебский переулок, дом 13, строение 2;37.59017;55.754677
Парковка №0302 (78);2;город Москва, Борисоглебский переулок, дом 15, строение 3;37.5907055;55.755067999999994
Парковка №0302 (79);3;город Москва, Поварская улица, дом 21/17, строение 1;37.591029500000005;55.7552895
Парковка №0302 (80);4;город Москва, Борисоглебский переулок, дом 9, строение 1;37.58955263968612;55.75407114087071
Парковка №0302 (81);1;город Москва, улица Малая Молчановка, дом 8, строение 2;37.59202;55.7540275
Парковка №0302 (82);4;город Москва, улица Малая Молчановка, дом 8, строение 1;37.5925325;55.7539105
Парковка №0302 (83);8;город Москва, улица Малая Молчановка, дом 7, строение 4;37.592344;55.753868499999996
Парковка №0302 (84);4;город Москва, улица Малая Молчановка, дом 7, строение 4;37.593410512216515;55.75361108223892
Парковка №0302 (101);4;город Москва, Трубниковский переулок, дом 13, строение 1;37.586662;55.753780500000005
Парковка №0302 (102);2;город Москва, Трубниковский переулок, дом 22, строение 1;37.586697;55.7541225
Парковка №0302 (103);5;город Москва, Трубниковский переулок, дом 13, строение 1;37.5865215;55.753761499999996
Парковка №0302 (104);3;город Москва, Трубниковский переулок, дом 15, строение 1;37.5865615;55.754173
Парковка №0302 (105);5;город Москва, Трубниковский переулок, дом 17, строение 1;37.586738;55.754810500000005
Парковка №0302 (106);2;город Москва, Трубниковский переулок, дом 15, строение 2;37.586601;55.754416000000006
Парковка №0302 (107);8;город Москва, Трубниковский переулок, дом 24, строение 1;37.58677402026172;55.75455614291371
Парковка №0302 (108);2;город Москва, Трубниковский переулок, дом 21, строение 1;37.5870025;55.7555205
Парковка №0302 (109);7;город Москва, Трубниковский переулок, дом 21, строение 2;37.5871615;55.75597
Парковка №0302 (110);4;город Москва, Поварская улица, дом 31/29;37.5874465;55.756507
Парковка №0302 (111);4;город Москва, Поварская улица, дом 31/29, строение 2;37.587721;55.756778999999995
Парковка №0302 (112);3;город Москва, Трубниковский переулок, дом 26, строение 1;37.586935499999996;55.75502
Парковка №0302 (113);3;город Москва, Трубниковский переулок, дом 30А, строение 1;37.5870605;55.755340000000004
Парковка №0302 (114);1;город Москва, Трубниковский переулок, дом 30, строение 1;37.5871935;55.7557105
Парковка №0302 (115);1;город Москва, Трубниковский переулок, дом 32;37.587294;55.7559925
Парковка №0302 (116);9;город Москва, Поварская улица, дом 29/36, строение 2;37.58748826694003;55.75640245646335
Парковка №0302 (117);2;город Москва, Поварская улица, дом 29/36, строение 2;37.587821500000004;55.756744999999995
Парковка №0302 (118);1;город Москва, улица Арбат, дом 33;37.592096;55.7494535
Парковка №0302 (119);10;город Москва, Калошин переулок, дом 10, строение 1;37.5922015;55.7489255
Парковка №0302 (120);4;город Москва, Калошин переулок, дом 4, строение 1;37.592316499999995;55.7479015
Парковка №0302 (212);2;город Москва, Смоленская площадь, дом 6, строение 1;37.583339699999996;55.749619949999996
Парковка №0302 (211);3;город Москва, Смоленская площадь, дом 6, строение 1;37.583371;55.749540100000004
Парковка №0302 (210);4;город Москва, Малый Каковинский переулок, дом 1/8, строение 2;37.5848563;55.749937349999996
