Красногвардейская, вход-выход 8 в северный вестибюль;37.7428056;55.6140271
Красногвардейская, вход-выход 5 в северный вестибюль;37.7429054;55.6134786
Красногвардейская, вход-выход 7 в северный вестибюль;37.7423932;55.6140076
Краснопресненская, вход-выход в вестибюль;37.5769305;55.760413
Красносельская, вход-выход в вестибюль;37.6660804;55.7799823
Красные ворота, вход-выход 1 в южный вестибюль;37.648027;55.768377
Красные ворота, вход-выход 2 в северный вестибюль;37.6503572;55.7697611
Крестьянская застава, вход-выход 10 в вестибюль;37.6655383;55.7323251
Кропоткинская, вход-выход 3 в северный вестибюль;37.6053316;55.7456522
Кропоткинская, вход-выход 1 в южный вестибюль;37.6015583;55.7449791
Крылатское, вход-выход 2 в западный вестибюль;37.407313;55.757872
Крылатское, вход-выход 8 в восточный вестибюль;37.407621;55.755583
Крылатское, вход-выход 6 в восточный вестибюль;37.408601;55.755375
Крылатское, вход-выход 4 в западный вестибюль;37.408585;55.757724
Крылатское, вход-выход 1 в западный вестибюль;37.40738;55.757423
Крылатское, вход-выход 3 в западный вестибюль;37.408542;55.758057
Крылатское, вход-выход 9 в восточный вестибюль;37.408899;55.755663
Крылатское, вход-выход 7 в восточный вестибюль;37.407686;55.755342
Новые Черёмушки, вход-выход 6 в северный вестибюль;37.555321;55.671235
Октябрьская, вход 1 в вестибюль кольцевой линии;37.611311;55.729349
Октябрьская, вход-выход 3 в вестибюль;37.6126133;55.7313189
Октябрьское поле, вход-выход 1 во 2-й вестибюль;37.4922446;55.7939801
Октябрьское поле, вход-выход 2 во 2-й вестибюль;37.4919278;55.7941438
Октябрьское поле, вход-выход 4 во 2-й вестибюль;37.4925294;55.7941853
Октябрьское поле, вход-выход 3 во 2-й вестибюль;37.4922657;55.7943253
Новые Черёмушки, вход-выход 7 в северный вестибюль;37.55586;55.671056
Октябрьское поле, вход-выход 8 в 1-й вестибюль;37.4944062;55.7928291
Китай-город, вход-выход 8 в южный вестибюль;37.635364;55.753728
Кожуховская, вход-выход 2 из вестибюля;37.685432;55.706140
Кожуховская, вход-выход 1 в вестибюль;37.685532;55.706341
Коломенская, вход-выход 3 в южный вестибюль;37.6627956;55.676834
Коломенская, вход-выход 4 в южный вестибюль;37.662975;55.677695
Коломенская, вход-выход 5 в северный вестибюль;37.663336;55.679291
Коломенская, вход-выход 2 в южный вестибюль;37.664333;55.676735
Коломенская, вход-выход 1 в южный вестибюль;37.6645394;55.6776258
Коломенская, вход-выход 7 в северный вестибюль;37.664952;55.679487
Коломенская, вход-выход 8 в северный вестибюль;37.664904;55.679214
Коломенская, вход-выход 6 в северный вестибюль;37.6634398;55.6795598
Комсомольская, вход 2 в вестибюль;37.655289;55.775717
Комсомольская, вход 5 в вестибюль;37.6558575;55.7753031
Комсомольская, вход 6 в вестибюль;37.6563189;55.7749342
Комсомольская, выход 1 из вестибюля;37.655917;55.77673
Комсомольская, вход 4 в вестибюль;37.656078;55.7755021
Комсомольская, вход 3 в вестибюль;37.655895;55.775835
Коньково, вход-выход 4 в южный вестибюль;37.5180365;55.6325183
Новослободская, вход-выход 5 в вестибюль;37.601021;55.779503
Новоясеневская, вход-выход 2 в северный вестибюль;37.553025;55.601448
Новоясеневская, вход-выход 3 в северный вестибюль;37.5528887;55.6019926
Новые Черёмушки, вход-выход 4 в южный вестибюль;37.5536016;55.6696118
Новые Черёмушки, вход-выход 1 в южный вестибюль;37.5541228;55.6694298
Октябрьское поле, вход-выход 7 в 1-й вестибюль;37.494672;55.7927107
Октябрьское поле, вход-выход 5 в 1-й вестибюль;37.494715;55.7930327
Октябрьское поле, вход-выход 6 в 1-й вестибюль;37.4949407;55.7929182
Орехово, вход-выход 1 в южный вестибюль;37.695852;55.612207
Ленинский проспект, вход-выход 2 в северный вестибюль;37.587564;55.708543
Лубянка, вход-выход 9 в северный вестибюль;37.626024;55.759018
Лубянка, вход-выход 8 в северный вестибюль;37.626322;55.758812
Лубянка, вход-выход 7 в северный вестибюль;37.627157;55.758934
Лубянка, вход-выход 6 в северный вестибюль;37.628067;55.759222
Лубянка, вход-выход 2 в северный вестибюль;37.627963;55.760009
Лубянка, вход-выход 4 в северный вестибюль;37.628469;55.759583
Лубянка, вход-выход 3 в северный вестибюль;37.628384;55.759958
Лубянка, вход 10 в южный вестибюль;37.625869;55.758992
Люблино, вход-выход 1 во 2-й вестибюль;37.7610191;55.674484
Люблино, вход-выход 2 в 1-й вестибюль;37.7618126;55.6767171
Лубянка, вход-выход 5 в северный вестибюль;37.628323;55.759369
Люблино, вход-выход 3 в 1-й вестибюль;37.7618992;55.6770532
Люблино, вход-выход 4 в 1-й вестибюль;37.7621184;55.6771029
Люблино, вход-выход 5 в 1-й вестибюль;37.7627843;55.677062
Люблино, вход-выход 6 в 1-й вестибюль;37.7629313;55.6769211
Марксистская, вход-выход 5 в вестибюль;37.656456;55.740620
Марксистская, вход-выход 6 в вестибюль;37.656675;55.741077
Марьина роща, вход-выход 5 в 1-й вестибюль;37.6168452;55.7935291
Марьина роща, вход-выход 4 в 1-й вестибюль;37.615858;55.793534
Марьина роща, вход-выход 1 во 2-й вестибюль;37.6169578;55.7971408
Марьино, вход-выход 7 в северный вестибюль;37.743716;55.651296
Марьино, вход-выход 8 в северный вестибюль;37.7438447;55.6510084
Марьино, вход-выход 1 в южный вестибюль;37.7438608;55.6491637
Марьино, вход-выход 3 в южный вестибюль;37.744483;55.649279
Марьино, вход-выход 4 в южный вестибюль;37.744606;55.648937
Кузнецкий мост, вход-выход 1 в вестибюль;37.624185;55.761541
