Cantinetta Antinori / Кантинетта Антинори;https://www.restoran.ru/msk/detailed/restaurants/cantinetta_antinori/
Carpe Diem;https://www.restoran.ru/msk/detailed/restaurants/carpe-diem/
Casa Bella / Каса Белла;https://www.restoran.ru/msk/detailed/restaurants/casa-bella/
Casa Mia / Каза Миа;https://www.restoran.ru/msk/detailed/restaurants/casa-mia/
Casting cafe / Кастинг кафе;https://www.restoran.ru/msk/detailed/restaurants/casting-cafe/
Cavina / Кавина;https://www.restoran.ru/msk/detailed/restaurants/the-flying-inn/
Cedro / Чедро;https://www.restoran.ru/msk/detailed/restaurants/cedro/
Ceretto / Черетто;https://www.restoran.ru/msk/detailed/restaurants/ceretto/
Ceretto More / Черетто Море;https://www.restoran.ru/msk/detailed/restaurants/ceretto-more/
Cevicheria / Севичерия;https://www.restoran.ru/msk/detailed/restaurants/cevicheria/
Chakrulo / Чакруло;https://www.restoran.ru/msk/detailed/restaurants/chakrulo/
Chalet River Club / Шале Ривер Клаб;https://www.restoran.ru/msk/detailed/restaurants/chalet/
Chalet Royal Club / Шале Роял Клаб;https://www.restoran.ru/msk/detailed/restaurants/chalet-royal-club/
Chasovaya / Часовая;https://www.restoran.ru/msk/detailed/restaurants/chasovaya/
Chelsea GastroPub / Челси Гастропаб;https://www.restoran.ru/msk/detailed/restaurants/chelsea-pub/
Chin Chin / Чин Чин (ул. Верхняя Масловка);https://www.restoran.ru/msk/detailed/restaurants/chinchin_verkhnyaya_maslovka/
China Blue / Чайна Блю;https://www.restoran.ru/msk/detailed/restaurants/china-blue/
China Club / Чайна Клаб;https://www.restoran.ru/msk/detailed/restaurants/china_club/
China news / Китайские новости (Арбат);https://www.restoran.ru/msk/detailed/restaurants/china-news-arbat/
China news / Китайские новости (Коньково);https://www.restoran.ru/msk/detailed/restaurants/china-news/
Christian / Кристиан;https://www.restoran.ru/msk/detailed/restaurants/christian/
Churchill`s pub / Черчилль паб;https://www.restoran.ru/msk/detailed/restaurants/churchills_pub/
Cibo E Vino / Чибо Э Вино;https://www.restoran.ru/msk/detailed/restaurants/cibo-e-vino/
CITY FOOD Европолис;https://www.restoran.ru/msk/detailed/restaurants/city-food/
City Voice / 6 floor;https://www.restoran.ru/msk/detailed/restaurants/city-voice/
Coccinelle / Коксинель;https://www.restoran.ru/msk/detailed/restaurants/coccinelle/
Corner cafe&kitchen;https://www.restoran.ru/msk/detailed/restaurants/corner/
Courvoisier / Курвуазье;https://www.restoran.ru/msk/detailed/restaurants/courvoisier/
Crafted Grill Bar / Крафтед Гриль Бар;https://www.restoran.ru/msk/detailed/restaurants/crafted-grill-bar/
Crazy Hunter / Крейзи Хантер;https://www.restoran.ru/msk/detailed/restaurants/crazyhunter/
Creperie De Paris / Крепери де Пари;https://www.restoran.ru/msk/detailed/restaurants/creperie-de-paris/
Croydon / Кройдон;https://www.restoran.ru/msk/detailed/restaurants/croydon/
CURE bar;https://www.restoran.ru/msk/detailed/restaurants/cure-bar/
Da Pino / Да Пино (Волгоградский пр.);https://www.restoran.ru/msk/detailed/restaurants/dapino-volgogradskaya/
Da Pino / Да Пино (Делегатская);https://www.restoran.ru/msk/detailed/restaurants/dapino-delegatskaya/
Da Pino / Да Пино (ул. Наметкина);https://www.restoran.ru/msk/detailed/restaurants/da-pino-nametkina/
Dan Cafe / Дан Кафе;https://www.restoran.ru/msk/detailed/restaurants/dancafe/
Dark Patrick’s Pub / Паб Тёмного Патрика;https://www.restoran.ru/msk/detailed/restaurants/dark_patrick_s_pub/
Davno / Давно;https://www.restoran.ru/msk/detailed/restaurants/davno/
Disput / Диспут;https://www.restoran.ru/msk/detailed/restaurants/disput/
Doctor Watson / Доктор Ватсон;https://www.restoran.ru/msk/detailed/restaurants/doctor-watson/
Dolma / Долма (Сретенка);https://www.restoran.ru/msk/detailed/restaurants/dolma-sretenka/
Don Giulio Pasticceria / Дон Джулио Пастиччерия;https://www.restoran.ru/msk/detailed/restaurants/don-giulio-pasticceria/
Dorffman / Дорффман;https://www.restoran.ru/msk/detailed/restaurants/dorffman/
Double Bourbon Street Bar / Дабл Бурбон Стрит Бар;https://www.restoran.ru/msk/detailed/restaurants/double_bourbon_street_bar/
Dream Bar / Дрим Бар;https://www.restoran.ru/msk/detailed/restaurants/dreambar/
Dream City / Дрим Сити;https://www.restoran.ru/msk/detailed/restaurants/skazka-vostoka/
Drinks@Dinners / Дринкс энд Диннерс;https://www.restoran.ru/msk/detailed/restaurants/drinks-dinners/
Duet;https://www.restoran.ru/msk/detailed/restaurants/duet/
DUETS;https://www.restoran.ru/msk/detailed/restaurants/karaokeduets/
Easy Brix;https://www.restoran.ru/msk/detailed/restaurants/brix-na-pyatnitskoy/
Easy Pub / Изи Паб Бутово;https://www.restoran.ru/msk/detailed/restaurants/easypub_butovo/
Easy Pub / Изи Паб Ходынка;https://www.restoran.ru/msk/detailed/restaurants/easypub/
Ecle / Экле;https://www.restoran.ru/msk/detailed/restaurants/ecle_rest/
El Gauchito / Эль Гаучито (на Кутузовском);https://www.restoran.ru/msk/detailed/restaurants/elgauchito/
Eleven;https://www.restoran.ru/msk/detailed/restaurants/eleven-meathouse/
ELITE / ЭЛИТ;https://www.restoran.ru/msk/detailed/restaurants/elite/
Ellada Club / Эллада Клаб;https://www.restoran.ru/msk/detailed/restaurants/ellada-club/
Embers speakeasy / Эмберс спикизи;https://www.restoran.ru/msk/detailed/restaurants/embers-speakeasy/
Enjoy Lounge Bar / Энджой Лаунж Бар;https://www.restoran.ru/msk/detailed/restaurants/enjoy-lounge-bar/
EnJoyLife / Джой;https://www.restoran.ru/msk/detailed/restaurants/enjoylife/
Est Caffe / Эст Кафе;https://www.restoran.ru/msk/detailed/restaurants/est_kafe/
Extra Virgin;https://www.restoran.ru/msk/detailed/restaurants/extra-virgin/
Fazenda / Фазенда;https://www.restoran.ru/msk/detailed/restaurants/fazenda/
Feel Italian;https://www.restoran.ru/msk/detailed/restaurants/feel-italian/
Filetto / Филетто;https://www.restoran.ru/msk/detailed/restaurants/filetto/
Filin Good / Филин Гуд;https://www.restoran.ru/msk/detailed/restaurants/filin-good/
Fishmarket / Фишмаркет;https://www.restoran.ru/msk/detailed/restaurants/fishmarket/
Flash Royal / Флэш Рояль;https://www.restoran.ru/msk/detailed/restaurants/flash-royal/
Food Embassy / Фуд Эмбасси;https://www.restoran.ru/msk/detailed/restaurants/food_embassy/
Football Republic;https://www.restoran.ru/msk/detailed/restaurants/football-republic/
For You / Фор Ю;https://www.restoran.ru/msk/detailed/restaurants/raihona/
Forest lounge / Форест лаундж;https://www.restoran.ru/msk/detailed/restaurants/forest-lounge/
